artist_id,artist_name,artist_role,nationality,gender,birth_year,birth_place,death_year,death_place,wiki,ulan
, Robert Mapplethorpe,,American,,1947,,1989,"New York City (New York state, United States)",,
, Jo Baer,,American,,,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, Franz Ackermann,,German,,1963,,,,,
, unknown Chinese,,Chinese,,,,,,,
, Cesare|Ponzio Casati,designer|designer,Italian|Italian,,1936,,,|,,
, Cesare|Ponzio Casati,designer|designer,Italian|Italian,,1936,,,|,,
, Cesare|Ponzio Casati,designer|designer,Italian|Italian,,1936,,,|,,
, Cesare|Ponzio Casati,designer|designer,Italian|Italian,,1936,,,|,,
, unknown Chinese,,Chinese,,,,,,,
, unknown Chinese,,Chinese,,,,,,,
, Augustus Welby Northmore|Hardman Pugin,designer|manufacturer,British|Scottish,,1812,,1852,"Ramsgate (Kent, England, United Kingdom)|",,
, Alfred Ivory,,British,,1856,,1882,,,
, Alfred Ivory,,British,,1856,,1882,,,
, Christopher|Watcombe Pottery Dresser,designer|manufacturer,British|,,1834,,1904,|,,
, Christopher|Brownfield Dresser,designer|manufacturer,British|,,1834,,1904,|,,
, Christopher|Old Hall Earthenware Company Limited Dresser,designer|manufacturer,British|British,,1834,,1904,|,,
, Christopher|Old Hall Earthenware Company Limited Dresser,designer|manufacturer,British|British,,1834,,1904,|,,
, Christopher|Old Hall Earthenware Company Limited Dresser,designer|manufacturer,British|British,,1834,,1904,|,,
, Christopher|Ault Pottery Dresser,designer|manufacturer,British|,,1834,,1904,|,,
, Eugène Atget,,French,,1857,,1927,Paris,,
, unknown American,,American,,,,,,,
