,artist_id,artist_name,artist_role,nationality,gender,birth_year,birth_place,death_year,death_place,wiki,ulan
0, ,Robert Arneson, ,American,Male,1930, ,1992, ,,
1, ,Doroteo Arnaiz, ,Spanish,Male,1936, ,0, ,,
2, ,Bill Arnold, ,American,Male,1941, ,0, ,,
3, ,Charles Arnoldi, ,American,Male,1946, ,0, ,Q1063584,500027998
4, ,Per Arnoldi, ,Danish,Male,1941, ,0, ,,
5, ,Danilo Aroldi, ,Italian,Male,1925, ,0, ,,
6, ,Bill Aron, ,American,Male,1941, ,0, ,,
7, ,David Aronson, ,American,Male,1923, ,0, ,Q5230870,500003363
8, ,Irene Aronson, ,American,Female,1918, ,0, ,Q19748568,500042413
9, ,Jean (Hans) Arp, ,French,Male,1886, ,1966, ,Q153739,500031000
10, ,Jüri Arrak, ,Estonian,Male,1936, ,0, ,,
11, ,J. Arrelano Fischer, ,Mexican,Male,1911, ,1995, ,,
12, ,Folke Arstrom, ,Swedish,Male,1907, ,1997, ,,
13, ,Cristobal Arteche, ,Spanish,Male,1900, ,1964, ,,
14, ,Artko, ,,,0, ,0, ,,
15, ,Richard Artschwager, ,American,Male,1923, ,2013, ,Q568262,500114981
16, ,Ruth Asawa, ,American,Female,1926, ,2013, ,Q7382874,500077806
17, ,Isidora Aschheim, ,Israeli,Female,0, ,0, ,,
18, ,Charles Robert Ashbee, ,British,Male,1863, ,1942, ,Q614071,500030367
19, ,Donald Ashcraft, ,American,Male,1927, ,0, ,,
20, ,E. M. Ashe, ,American,Male,1867, ,1941, ,,
21, ,Göran Åslin, ,Swedish,,1940, ,0, ,,
22, ,Erik Gunnar Asplund, ,Swedish,Male,1885, ,1940, ,Q312070,500011232
23, ,Geneviève Asse, ,French,Female,1923, ,0, ,Q1978192,500025324
24, ,Sergio Asti, ,Italian,Male,1926, ,0, ,,
25, ,Dana Atchley, ,American,Female,1941, ,2000, ,,
26, ,Atelier Eggers, ,French,,0, ,0, ,,
27, ,A.A.P., ,American,,0, ,0, ,,
28, ,Alvar Aalto, ,Finnish,Male,1898, ,1976, ,Q82840,500002617
29, ,Aino Aalto, ,Finnish,Female,1894, ,1949, ,Q273511,500024110
30, ,Eero Aarnio, ,Finnish,Male,1932, ,0, ,Q707025,500270610
31, ,Jules Aarons, ,American,Male,1921, ,2008, ,,
32, ,Magdalena Abakanowicz, ,Polish,Female,1930, ,2017, ,Q158080,500084577
33, ,James Abbe, ,American,Male,1883, ,1973, ,Q321301,500026671
34, ,Jussuf Abbo, ,Palestinian,Male,1888, ,1953, ,,
35, ,Berenice Abbott, ,American,Female,1898, ,1991, ,Q231861,500020631
36, ,Nobuya Abe, ,Japanese,Male,1913, ,1971, ,,
37, ,Abe Shiro (pen Name: Suichiku), ,Japanese,Male,1900, ,0, ,,
38, ,Robert Abel, ,American,Male,1937, ,0, ,Q7341326,
39, ,Sigmund Abeles, ,American,Male,1934, ,0, ,,
40, ,Raimund Abraham, ,American,Male,1933, ,2010, ,Q78819,500031964
41, ,Ivor Abrahams, ,British,Male,1935, ,0, ,Q11714362,500012378
42, ,Gerald Abramovitz, ,British,Male,1928, ,2011, ,,
43, ,William Ross Abrams, ,American,Male,1920, ,2007, ,,
44, ,Rodolfo Abularach, ,Guatemalan,Male,1933, ,0, ,Q7357131,500118427
45, ,Vito Acconci, ,American,Male,1940, ,2017, ,Q433471,500014538
46, ,Milton Ackoff, ,American,Male,1915, ,0, ,,
47, ,Norman Ackroyd, ,British,Male,0, ,0, ,Q7051892,500029028
48, ,Luis Alberto Acuña, ,Colombian,Male,1904, ,1994, ,,
49, ,Henri Georges Adam, ,French,Male,1904, ,1967, ,Q662900,500020748
50, ,Antoine Samuel Adam-Salomon, ,French,Male,1818, ,1881, ,,
51, ,Valerio Adami, ,Italian,Male,1935, ,0, ,Q562139,500013534
52, ,Ansel Adams, ,American,Male,1902, ,1984, ,Q60809,500026108
53, ,Alice Adams, ,American,Female,1930, ,0, ,Q4725709,500033075
54, ,Clinton Adams, ,American,Male,1918, ,2002, ,Q5134058,500042367
55, ,Dacres Adams, ,British,Male,1864, ,1951, ,,
56, ,Dennis Adams, ,American,Male,1948, ,0, ,,
57, ,Kenneth M. Adams, ,American,Male,1897, ,1966, ,,
58, ,Robert Adams, ,American,Male,1937, ,0, ,Q1392710,500037036
59, ,Shelby Lee Adams, ,American,Female,1950, ,0, ,,
60, ,Charles Addams, ,American,Male,1912, ,1988, ,Q361106,500074368
61, ,Allan Adler, ,American,Male,1916, ,2002, ,,
62, ,Jankel Adler, ,Polish,Male,1895, ,1949, ,Q213726,500027359
63, ,Virginia Admiral, ,American,Female,1915, ,2000, ,Q7815833,500044912
64, ,Pic Adrian, ,Romanian,Male,1910, ,0, ,,
65, ,Roy Adzak, ,British,Male,1927, ,1987, ,Q3445734,500032997
66, ,Nicholas Africano, ,American,Male,1948, ,0, ,,
67, ,Afro (Afro Basaldella), ,Italian,Male,1912, ,1976, ,Q388090,500014109
68, ,Aftograf, ,Russian,,0, ,0, ,,
69, ,Agam (Yaacov Agam), ,Israeli,Male,1928, ,0, ,Q276030,500019224
70, ,Mehemed Fehmy Agha, ,American,Male,1896, ,1978, ,Q3853982,500032736
71, ,Kathleen Agnoli, ,American,Female,1945, ,0, ,,
72, ,Peter Agostini, ,American,Male,1913, ,1993, ,,
73, ,Olympe Aguado de las Marismas, ,French,Male,1827, ,1894, ,Q2734214,500345720
74, ,Dongkuk S. Ahn, ,American,Male,1937, ,2013, ,,
75, ,Aarne Aho, ,Finnish,Male,1904, ,1978, ,,
76, ,Otl Aicher (also known as Otto Aicher), ,German,Male,1922, ,1991, ,Q61191,500058307
77, ,Lucien Aigner, ,American,Male,1901, ,1999, ,Q3265338,500043259
78, ,Gregory Ain, ,American,Male,1908, ,1988, ,Q5606793,500008108
79, ,Edgar Ainsworth, ,British,Male,1906, ,1975, ,,
80, ,Roberto Aizenberg, ,Argentine,Male,1928, ,1996, ,,
81, ,Kinji Akagawa, ,Japanese,Male,1940, ,0, ,,
82, ,Ryoji Akiyama, ,Japanese,Male,1942, ,0, ,Q7385596,
83, ,Munira Al-Kazi, ,Kuwaiti,Female,1939, ,0, ,,
84, ,Alastair (Hans H. Voight), ,German,Male,1887, ,1969, ,,
85, ,Anni Albers, ,American,Female,1899, ,1994, ,Q86078,500012591
86, ,Josef Albers, ,American,Male,1888, ,1976, ,Q170071,500033049
87, ,Beatrice Albert, ,American,Female,0, ,0, ,,
88, ,Joan Albert, ,American,Female,1943, ,2012, ,,
89, ,Ivan LeLorraine Albright, ,American,Male,1897, ,1983, ,Q1392676,500016413
90, ,Album-miscellaneous, ,,,0, ,0, ,,
91, ,Albert Alcalay, ,American,Male,1917, ,2008, ,,
92, ,L. (Alfred Lewin Copley) Alcopley, ,American,Male,1910, ,1992, ,Q3611295,500019879
93, ,A. Alcorn, ,American,,0, ,0, ,,
94, ,Alan Aldridge, ,British,Male,1943, ,0, ,,
95, ,Pierre Alechinsky, ,Belgian,Male,1927, ,0, ,Q328248,500027985
96, ,Peter Alexander, ,American,Male,1939, ,2020, ,,
97, ,Carlo Alfano, ,Italian,Male,0, ,0, ,,
98, ,José R. Alicea, ,American,Male,1928, ,0, ,,
99, ,Leopoldo and Guiseppe Alinari, ,Italian,,0, ,0, ,,
100, ,James Alinder, ,American,Male,1941, ,0, ,,
101, ,Yves Alix, ,French,Male,1890, ,1969, ,,
102, ,Wobbe Alkema, ,Dutch,Male,1900, ,1984, ,,
103, ,William Allan, ,American,Male,1936, ,0, ,,
104, ,Alexander Alland, ,American,Male,1902, ,1989, ,,
105, ,Harry Allen, ,American,Male,1964, ,0, ,,
106, ,Terry Allen, ,American,Male,1943, ,0, ,Q1279401,500103769
107, ,Adrian Allinson, ,British,Male,1890, ,1959, ,,
108, ,Carlos Alonso, ,Argentine,Male,1929, ,0, ,,
109, ,Glen Alps, ,American,Male,1914, ,1996, ,,
110, ,Henry Altchek, ,American,Male,1943, ,0, ,,
111, ,Gerhard Altenbourg, ,German,Male,1926, ,1989, ,Q111018,500029807
112, ,Hobie Alter, ,American,Male,1933, ,0, ,,
113, ,Harold Altman, ,American,Male,1924, ,2003, ,,500028706
114, ,Giacchino Altobelli, ,Italian,Male,1814, ,0, ,,
115, ,John Altoon, ,American,Male,1925, ,1969, ,Q4062989,500019079
116, ,Manuel Álvarez Bravo, ,Mexican,Male,1902, ,2002, ,Q712262,500028115
