artist_name,artist_role,artist_id,nationality,gender,birth_year,birth_place,death_year,death_place,wiki,ulan
  J & L Lobmeyr,,,Austrian,,1823-01-01,,,,,
 4moms,,,American,,,,,,,
 A. C.|Rowlandson Pugin,after|publisher|printmaker|,,French|British|British|British,,1769-01-01|1756-01-01|1764-01-01|,,1832-01-01|1827-01-01|1834-01-01|1819-01-01,"London, England|London, England|Finchley, London, England|",,
 A. Cassandre,,,French,,1/1/1901,,1/1/1968,Paris,,
 A. Charrie,,,French,,,,,,,
 A. Hausold,,,American,,1860-01-01,,,,,
 A. J. Speyer,,,American,,1/1/1913,,1/1/1986,"Chicago, Illinois",,
 A. J.|Conrad Speyer,architect|modelmaker,,American|American,,1913-01-01|1910-01-01,,1986-01-01|1994-01-01,"Chicago, Illinois|",,
 A. M. Thompson,,,American,,1860-01-01,,,,,
 A. N. Bayley and Goodrich|Paddock,architects|delineator,,American|undetermined,,1897-01-01|,,1905-01-01|,|,,
 A. N. Christie,,,American,,,,,,,
 A. R. Pittman,,,American,,1883-01-01,,,,,
 A. W. Atkinson,,,English,,,,,,,
 A. Weud,,,Austrian,,,,,,,
 Aaron Shikler,,,American,,1/1/1922,,,,,
 Aaron Siskind,,,American,,1/1/1903,,1/1/1991,"Providence (Providence county, Rhode Island, United States)",,
 Aaron|Fry Bloom,|,,American|American,,|1900-01-01,,|1929-01-01,|,,
 Ababua unknown Congolese,possibly by,,Congolese,,,,,,,
 Abraham Sissman,,,American,,1/1/1912,,1/1/1940,,,
 Abraham Walkowitz,,,American,,1880-01-01,,1/1/1965,"New York City (New York state, United States)",,
 Abraham unknown Dutch|Bloemaert,after|,,Dutch|Dutch,,|1566-01-01,,|1651-01-01,"|Utrecht (Utrecht province, Netherlands)",,
 Abraham|Goltzius Blooteling,engraver|after,,Dutch|Dutch,,1640-01-01|1558-01-01,,1690-01-01|1617-01-01," Amsterdam (North Holland, Netherlands)|Haarlem (North Holland, Netherlands)",,
 Abraham|Mieris Blooteling,printmaker|after,,Dutch|Dutch,,1640-01-01|1660-01-01,,1690-01-01|1690-01-01," Amsterdam (North Holland, Netherlands)|Rome (Roma province, Lazio, Italy)",,
 Abraham|Rubens Blooteling,after|publisher|,,Dutch|Flemish|Netherlandish,,1640-01-01|1577-01-01|1649-01-01,,1690-01-01|1640-01-01|1702-01-01," Amsterdam (North Holland, Netherlands)|Antwerp (Antwerpen province, Flanders, Belgium)|",,
 Abraham|Vaillant Blooteling,printmaker|after,,Dutch|Flemish,,1640-01-01|1632-01-01,,1690-01-01|1698-01-01," Amsterdam (North Holland, Netherlands)|",,
 Abram Tromka,,,American,,1896-01-01,,1/1/1954,"Queens, New York",,
 Achaemenid period unknown Persian,,,Achaemenid,,0699-01-01,,0599-01-01,,,
 Ada Gabriel,,,American,,1898-01-01,,1/1/1975,"New York City, New York",,
 Adams,,,English,,,,,,,
 Adolf Fleischmann,,,German,,1892-01-01,,1/1/1969," Stuttgart (Stuttgart district, Baden-Württemberg, Germany)",,
 Adolf de Meyer,,,French,,1868-01-01,,1/1/1949,"Hollywood (Los Angeles, Los Angeles county, California, United States)",,
 Adolf von Menzel,,,German,,1815-01-01,,1/1/1905,"Berlin, Germany",,
 Adolf| J & L Lobmeyr Loos,|,,Austrian|Austrian,,1870-01-01|1823-01-01,,1933-01-01|,"Kalksburg, Austria|",,
 Adolphe Appian,,,French,,1818-01-01,,1898-01-01,,,
 Adriaen Collaert,,,Flemish,,1560-01-01,,1618-01-01,"Antwerp, Flanders, Belgium",,
 Adriaen v. Velde,,,Dutch,,1636-01-01,,1672-01-01,,,
 Adrian Saxe,,,American,,1/1/1943,,,,,
 Adrian Troy,,,American,,1/1/1901,,1/1/1977,"Memphis, TN",,
 Adrien Dauzats,,,French,,1804-01-01,,1868-01-01," Paris (Ville de Paris department, Île-de-France, France)",,
 Adrien Pierre Dalpayrat,,,French,,1844-01-01,,1/1/1910,,,
 Adrien Ysenbrandt,,,Flemish,,1485-01-01,,1551-01-01," Bruges, Belgium",,
 Adrienne Heinrich,,,American,,1/1/1937,,,,,
 Agnes Lyall,,,American,,1/1/1908,,,,,
 Agnes Martin,,,Canadian,,1/1/1912,,1/1/2004,"Taos (Taos county, New Mexico, United States)",,
 Aijiro Wakita,,,Japanese,,1/1/1942,,,,,
 Aitchison & Co.,manufacturer,,English,,1889-01-01,,1/1/1927,,,
 Akasawa Etsutarô,,,Japanese,,1/1/1920,,,,,
 Akio Takamori,,,American,,1/1/1950,,,,,
 Akira Arita,,,Japanese,,1/1/1947,,,,,
 Al Mahler,,,American,,1/1/1950,,1/1/1988,,,
 Alain Mailland,,,French,,1/1/1959,,,,,
 Alan C. Dunn,,,American,,1/1/1900,,1/1/1974,,,
 Alan Greenberg,,,American,,1/1/1956,,,,,
